Rank ,Title ,Artist,Year ,BPM,Genre,Release Date ,Music Video 
1,Uptown Funk,Mark Ronson ft. Bruno Mars,2015,115,Pop,2014-11-10,1
2,Thinking Out Loud,Ed Sheeran,2015,79,Pop,2014-09-24,1
3,See You Again,Wiz Khalifa ft. Charlie Puth,2015,80,Pop,2015-03-10,1
4,Trap Queen,Fetty Wap,2015,148,Hip-Hop,2014-12-15,1
5,Sugar,Maroon 5,2015,120,Pop,2015-01-13,1
6,Shut Up & Dance,Walk the Moon,2015,128,Pop,2014-09-10,1
7,Blank Space,Taylor Swift,2015,96,Pop,2014-11-10,1
8,Watch Me,Silentó,2015,140,Hip-Hop,2015-05-05,1
9,Earned It,The Weeknd,2015,120,R&B,2014-12-23,1
10,The Hills,The Weeknd,2015,113,R&B,2015-05-27,1
11,Cheerleader (Felix Jaehn Remix),OMI,2015,118,Pop,2015-04-12,1
12,Can't Feel My Face,The Weeknd,2015,108,Pop,2015-06-08,1
13,Love Me Like You Do,Ellie Goulding,2015,95,Pop,2015-01-07,1
14,Take Me to Church,Hozier,2015,129,Pop,2013-09-13,1
15,Bad Blood,Taylor Swift ft. Kendrick Lamar,2015,170,Pop,2015-05-17,1
16,Lean On,Major Lazer & DJ Snake ft. MØ,2015,98,Pop,2015-03-02,1
17,Want to Want Me,Jason Derulo,2015,114,Pop,2015-03-09,1
18,Shake It Off,Taylor Swift,2015,160,Pop,2014-08-18,1
19,Where Are Ü Now,Skrillex & Diplo (Jack Ü) ft. Justin Bieber,2015,139,Pop,2015-02-27,1
20,Fight Song,Rachel Platten,2015,176,Pop,2015-02-19,1
21,679,Fetty Wap ft. Remy Boyz,2015,95,Hip-Hop,2015-06-29,1
22,Lips Are Movin,Meghan Trainor,2015,139,Pop,2014-10-21,1
23,Worth It,Fifth Harmony ft. Kid Ink,2015,100,Pop,2015-01-20,1
24,Post to Be,Omarion ft. Chris Brown & Jhené Aiko,2015,98,R&B,2014-11-11,1
25,"Honey, I'm Good.",Andy Grammer,2015,122,Pop,2014-11-21,1
26,I'm Not the Only One,Sam Smith,2015,82,Pop,2014-08-31,1
27,Good for You,Selena Gomez ft. ASAP Rocky,2015,95,Pop,2015-06-22,1
28,All About That Bass,Meghan Trainor,2015,134,Pop,2014-06-30,1
29,Style,Taylor Swift,2015,95,Pop,2015-02-09,1
30,Hotline Bling,Drake,2015,135,Hip-Hop,2015-07-31,1
31,Hey Mama,"David Guetta ft. Nicki Minaj, Bebe Rexha & Afrojack",2015,86,Pop,2015-03-16,1
32,G.D.F.R.,Flo Rida ft. Sage the Gemini & Lookas,2015,146,Pop,2014-09-29,1
33,What Do You Mean?,Justin Bieber,2015,125,Pop,2015-08-28,1
34,Photograph,Ed Sheeran,2015,108,Pop,2015-05-11,1
35,Hello,Adele,2015,79,Pop,2015-10-23,1
36,Stitches,Shawn Mendes,2015,150,Pop,2015-05-05,1
37,Talking Body,Tove Lo,2015,120,Pop,2015-01-13,1
38,Jealous,Nick Jonas,2015,93,Pop,2014-09-08,1
39,Time of Our Lives,Pitbull & Ne-Yo,2015,124,Pop,2014-11-17,1
40,Locked Away,R. City ft. Adam Levine,2015,118,Pop,2015-06-29,1
41,Somebody,Natalie La Rose ft. Jeremih,2015,105,Pop,2015-01-06,1
42,FourFiveSeconds,"Rihanna, Kanye West & Paul McCartney",2015,103,Pop,2015-01-24,1
43,Centuries,Fall Out Boy,2015,176,Pop,2014-09-09,1
44,My Way,Fetty Wap ft. Monty,2015,120,Hip-Hop,2015-06-01,1
45,Take Your Time,Sam Hunt,2015,80,Country,2014-11-24,1
46,Animals,Maroon 5,2015,190,Pop,2014-08-25,1
47,I Don't Fuck with You,Big Sean ft. E-40,2015,98,Hip-Hop,2014-09-19,1
48,Bitch Better Have My Money,Rihanna,2015,103,Hip-Hop,2015-03-26,1
49,"Flex (Ooh, Ooh, Ooh)",Rich Homie Quan,2015,82,Hip-Hop,2015-02-10,1
50,Nasty Freestyle,T-Wayne,2015,157,Hip-Hop,2015-03-04,1
51,Only,"Nicki Minaj ft. Drake, Lil Wayne & Chris Brown",2015,140,Hip-Hop,2014-12-05,1
52,Elastic Heart,Sia,2015,130,Pop,2014-10-24,1
53,Cool for the Summer,Demi Lovato,2015,114,Pop,2015-07-01,1
54,Renegades,X Ambassadors,2015,90,Pop,2015-06-05,1
55,I Don't Mind,Usher ft. Juicy J,2015,120,R&B,2014-11-18,1
56,Love Me Harder,Ariana Grande & The Weeknd,2015,99,Pop,2014-09-30,1
57,Wildest Dreams,Taylor Swift,2015,140,Pop,2015-08-31,1
58,Stay with Me,Sam Smith,2015,84,Pop,2014-04-14,1
59,You Know You Like It,DJ Snake & AlunaGeorge,2015,98,Pop,2014-08-11,1
60,Uma Thurman,Fall Out Boy,2015,150,Pop,2015-01-20,1
61,7/11,Beyoncé,2015,136,Pop,2014-10-27,1
62,The Heart Wants What It Wants,Selena Gomez,2015,83,Pop,2014-11-24,1
63,Girl Crush,Little Big Town,2015,174,Country,2015-05-19,1
64,Slow Motion,Trey Songz,2015,95,R&B,2015-01-13,1
65,Drag Me Down,One Direction,2015,138,Pop,2015-07-31,1
66,Truffle Butter,Nicki Minaj ft. Drake & Lil Wayne,2015,105,Hip-Hop,2014-11-24,0
67,One Last Time,Ariana Grande,2015,125,Pop,2015-02-10,1
68,Chains,Nick Jonas,2015,152,Pop,2015-01-07,1
69,All Eyes on You,Meek Mill ft. Chris Brown & Nicki Minaj,2015,78,Hip-Hop,2015-06-26,1
70,No Type,Rae Sremmurd,2015,125,Hip-Hop,2014-08-14,1
71,Riptide,Vance Joy,2015,103,Pop,2013-05-21,1
72,Classic Man,Jidenna ft. Roman GianArthur,2015,93,Pop,2015-01-05,1
