Rank,Title,Artist,Year,BPM,Genre,Music Video,Release Season
1,Uptown Funk,Mark Ronson ft. Bruno Mars,2015,115,Pop,1,Fall
2,Thinking Out Loud,Ed Sheeran,2015,79,Pop,1,Fall
3,See You Again,Wiz Khalifa ft. Charlie Puth,2015,80,Pop,1,Spring
5,Sugar,Maroon 5,2015,120,Pop,1,Winter
6,Shut Up & Dance,Walk the Moon,2015,128,Pop,1,Fall
7,Blank Space,Taylor Swift,2015,96,Pop,1,Fall
11,Cheerleader (Felix Jaehn Remix),OMI,2015,118,Pop,1,Spring
12,Can't Feel My Face,The Weeknd,2015,108,Pop,1,Summer
13,Love Me Like You Do,Ellie Goulding,2015,95,Pop,1,Winter
14,Take Me to Church,Hozier,2015,129,Pop,1,Fall
15,Bad Blood,Taylor Swift ft. Kendrick Lamar,2015,170,Pop,1,Spring
16,Lean On,Major Lazer & DJ Snake ft. MØ,2015,98,Pop,1,Spring
17,Want to Want Me,Jason Derulo,2015,114,Pop,1,Spring
18,Shake It Off,Taylor Swift,2015,160,Pop,1,Summer
19,Where Are Ü Now,Skrillex & Diplo (Jack Ü) ft. Justin Bieber,2015,139,Pop,1,Winter
20,Fight Song,Rachel Platten,2015,176,Pop,1,Winter
22,Lips Are Movin,Meghan Trainor,2015,139,Pop,1,Fall
23,Worth It,Fifth Harmony ft. Kid Ink,2015,100,Pop,1,Winter
25,"Honey, I'm Good.",Andy Grammer,2015,122,Pop,1,Fall
26,I'm Not the Only One,Sam Smith,2015,82,Pop,1,Summer
27,Good for You,Selena Gomez ft. ASAP Rocky,2015,95,Pop,1,Summer
28,All About That Bass,Meghan Trainor,2015,134,Pop,1,Summer
29,Style,Taylor Swift,2015,95,Pop,1,Winter
31,Hey Mama,"David Guetta ft. Nicki Minaj, Bebe Rexha & Afrojack",2015,86,Pop,1,Spring
32,G.D.F.R.,Flo Rida ft. Sage the Gemini & Lookas,2015,146,Pop,1,Fall
33,What Do You Mean?,Justin Bieber,2015,125,Pop,1,Summer
34,Photograph,Ed Sheeran,2015,108,Pop,1,Spring
35,Hello,Adele,2015,79,Pop,1,Fall
36,Stitches,Shawn Mendes,2015,150,Pop,1,Spring
37,Talking Body,Tove Lo,2015,120,Pop,1,Winter
38,Jealous,Nick Jonas,2015,93,Pop,1,Fall
39,Time of Our Lives,Pitbull & Ne-Yo,2015,124,Pop,1,Fall
40,Locked Away,R. City ft. Adam Levine,2015,118,Pop,1,Summer
41,Somebody,Natalie La Rose ft. Jeremih,2015,105,Pop,1,Winter
42,FourFiveSeconds,"Rihanna, Kanye West & Paul McCartney",2015,103,Pop,1,Winter
43,Centuries,Fall Out Boy,2015,176,Pop,1,Fall
46,Animals,Maroon 5,2015,190,Pop,1,Summer
52,Elastic Heart,Sia,2015,130,Pop,1,Fall
53,Cool for the Summer,Demi Lovato,2015,114,Pop,1,Summer
54,Renegades,X Ambassadors,2015,90,Pop,1,Summer
56,Love Me Harder,Ariana Grande & The Weeknd,2015,99,Pop,1,Fall
57,Wildest Dreams,Taylor Swift,2015,140,Pop,1,Summer
58,Stay with Me,Sam Smith,2015,84,Pop,1,Spring
59,You Know You Like It,DJ Snake & AlunaGeorge,2015,98,Pop,1,Summer
60,Uma Thurman,Fall Out Boy,2015,150,Pop,1,Winter
61,7/11,Beyoncé,2015,136,Pop,1,Fall
62,The Heart Wants What It Wants,Selena Gomez,2015,83,Pop,1,Fall
65,Drag Me Down,One Direction,2015,138,Pop,1,Summer
67,One Last Time,Ariana Grande,2015,125,Pop,1,Winter
68,Chains,Nick Jonas,2015,152,Pop,1,Winter
71,Riptide,Vance Joy,2015,103,Pop,1,Spring
72,Classic Man,Jidenna ft. Roman GianArthur,2015,93,Pop,1,Winter
73,Ex's  &  Oh's,Elle King,2015,140,Pop,1,Summer
74,Dear Future Husband,Meghan Trainor,2015,142,Pop,1,Winter
75,Marvin Gaye,Charlie Puth ft. Meghan Trainor,2015,110,Pop,1,Spring
76,Like I'm Gonna Lose You,Meghan Trainor ft. John Legend,2015,108,Pop,1,Summer
77,Habits (Stay High),Tove Lo,2015,110,Pop,1,Fall
78,The Hanging Tree,James Newton Howard ft. Jennifer Lawrence,2015,121,Pop,0,Fall
80,Bang Bang,"Jessie J, Ariana Grande & Nicki Minaj",2015,150,Pop,1,Summer
81,Lay Me Down,Sam Smith,2015,123,Pop,1,Winter
89,Budapest,George Ezra,2015,128,Pop,1,Winter
90,Chandelier,Sia,2015,117,Pop,1,Spring
91,Heartbeat Song,Kelly Clarkson,2015,149,Pop,1,Spring
92,Don't,Ed Sheeran,2015,95,Pop,1,Summer
93,Ghost,Ella Henderson,2015,103,Pop,1,Fall
94,Here,Alessia Cara,2015,120,Pop,1,Summer
95,Waves (Robin Schulz Remix),Mr Probz,2015,120,Pop,1,Spring
96,El Perdón,Nicky Jam & Enrique Iglesias,2015,90,Pop,1,Summer
98,Night Changes,One Direction,2015,120,Pop,1,Fall
100,How Deep Is Your Love,Calvin Harris & Disciples,2015,122,Pop,1,Summer
1,Love Yourself,Justin Bieber,2016,101,Pop,1,Fall
2,Sorry,Justin Bieber,2016,100,Pop,1,Fall
3,One Dance,Drake,2016,104,Pop,0,Spring
4,Work,Rihanna ft. Drake,2016,92,Pop,1,Winter
5,Stressed Out,Twenty One Pilots,2016,85,Pop,1,Spring
6,Panda,Desiigner,2016,145,Pop,1,Winter
